sweep_index,cohort_id,new_contig,new_focus_pstart,new_focus_pstop,overlapping_genes
0,CF-BGF_Bangui_gamb_1994_Q1,2L,697375,1912001,AGAP004687 AGAP004689 AGAP004690 AGAP004692 AGAP004695 AGAP028432 AGAP028433 AGAP004686 AGAP029368 AGAP028434 AGAP004694 AGAP004691 AGAP029344 AGAP028435 AGAP029795 AGAP029798 AGAP004693
1,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2L,1449585,2875093,AGAP004695 AGAP004703 AGAP004706 AGAP004709 AGAP004710 AGAP004712 AGAP004722 AGAP004725 AGAP028436 AGAP004707 AGAP004714 AGAP004719 AGAP029368 AGAP028434 AGAP004694 AGAP029687 AGAP004698 AGAP029667 AGAP004726 AGAP004728 AGAP004711 AGAP004696 AGAP004720 AGAP004704 AGAP004715 AGAP004699 AGAP004723 AGAP028435 AGAP028437 AGAP004700 AGAP004727 AGAP004729 AGAP004708 AGAP004724 AGAP004730 AGAP029688 AGAP004713 AGAP029796 AGAP004716 AGAP004693 AGAP004717 AGAP004718
2,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,1801792,2730120,AGAP004695 AGAP004703 AGAP004706 AGAP004709 AGAP004710 AGAP004712 AGAP028436 AGAP004707 AGAP004714 AGAP004719 AGAP004698 AGAP029667 AGAP004711 AGAP004696 AGAP004704 AGAP004715 AGAP004699 AGAP028437 AGAP004700 AGAP004708 AGAP004713 AGAP029796 AGAP004716 AGAP004717 AGAP004718
3,BF-09_Houet_gamb_2012_Q3,2L,2160596,2723235,AGAP004703 AGAP004706 AGAP004709 AGAP004710 AGAP004712 AGAP004707 AGAP004714 AGAP004719 AGAP004711 AGAP004704 AGAP004715 AGAP028437 AGAP004708 AGAP004713 AGAP029796 AGAP004716 AGAP004717 AGAP004718
4,GN-N_Macenta_gamb_2012_Q4,2L,2206658,2690779,AGAP004703 AGAP004706 AGAP004709 AGAP004710 AGAP004712 AGAP004707 AGAP004714 AGAP004711 AGAP004704 AGAP004715 AGAP028437 AGAP004708 AGAP004713 AGAP029796 AGAP004716 AGAP004717
5,GN-F_Kissidougou_gamb_2012_Q4,2L,2297766,2760508,AGAP004706 AGAP004709 AGAP004710 AGAP004712 AGAP004722 AGAP004707 AGAP004714 AGAP004719 AGAP029687 AGAP004711 AGAP004720 AGAP004715 AGAP004723 AGAP004708 AGAP029688 AGAP004713 AGAP029796 AGAP004716 AGAP004717 AGAP004718
6,BF-09_Houet_gamb_2014_Q3,2L,2508315,2891349,AGAP004722 AGAP004725 AGAP004714 AGAP004719 AGAP029687 AGAP004726 AGAP004728 AGAP004720 AGAP004715 AGAP004723 AGAP004727 AGAP004729 AGAP004724 AGAP004730 AGAP029688 AGAP004731 AGAP004713 AGAP029796 AGAP004716 AGAP004717 AGAP004718
7,ML-2_Kati_gamb_2014_Q3,2L,2523089,2842360,AGAP004722 AGAP004725 AGAP004714 AGAP004719 AGAP029687 AGAP004726 AGAP004728 AGAP004720 AGAP004715 AGAP004723 AGAP004727 AGAP004724 AGAP029688 AGAP004713 AGAP029796 AGAP004716 AGAP004717 AGAP004718
8,CD-NU_Gbadolite_gamb_2015_Q3,2L,2543509,2955150,AGAP004733 AGAP004722 AGAP004725 AGAP029113 AGAP004714 AGAP004719 AGAP029687 AGAP004726 AGAP004728 AGAP004720 AGAP004715 AGAP004723 AGAP004727 AGAP004729 AGAP004724 AGAP004730 AGAP029688 AGAP004731 AGAP004713 AGAP029796 AGAP004716 AGAP004717 AGAP004718
9,ML-3_Yanfolila_gamb_2012_Q4,2L,2565210,2861296,AGAP004722 AGAP004725 AGAP004714 AGAP004719 AGAP029687 AGAP004726 AGAP004728 AGAP004720 AGAP004715 AGAP004723 AGAP004727 AGAP004729 AGAP004724 AGAP029688 AGAP029796 AGAP004716 AGAP004717 AGAP004718
10,UG-W_Kanungu_gamb_2012_Q4,2L,2595694,2994611,AGAP004733 AGAP004722 AGAP004738 AGAP004737 AGAP004736 AGAP004725 AGAP004735 AGAP004739 AGAP029113 AGAP004719 AGAP029687 AGAP004726 AGAP004728 AGAP004720 AGAP004715 AGAP004723 AGAP004727 AGAP004729 AGAP004724 AGAP004740 AGAP004730 AGAP029688 AGAP004731 AGAP029796 AGAP004716 AGAP004717 AGAP004718
11,GH-EP_New-Juaben_gamb_2012_Q4,2L,2753315,3192560,AGAP004733 AGAP004756 AGAP004755 AGAP013546 AGAP004738 AGAP004744 AGAP004742 AGAP004762 AGAP004745 AGAP004737 AGAP004758 AGAP004757 AGAP004736 AGAP004752 AGAP004759 AGAP004743 AGAP004741 AGAP004748 AGAP004749 AGAP004725 AGAP004735 AGAP004739 AGAP004746 AGAP029113 AGAP004764 AGAP004726 AGAP004728 AGAP004750 AGAP004723 AGAP004765 AGAP004760 AGAP004727 AGAP004729 AGAP004724 AGAP028129 AGAP004740 AGAP004730 AGAP004753 AGAP004761 AGAP004751 AGAP004754 AGAP004747 AGAP004731 AGAP004763 AGAP004766
12,UG-E_Tororo_gamb_2012_Q4,2L,2783473,3139329,AGAP004733 AGAP004756 AGAP004755 AGAP013546 AGAP004738 AGAP004744 AGAP004742 AGAP004745 AGAP004737 AGAP004758 AGAP004757 AGAP004736 AGAP004752 AGAP004759 AGAP004743 AGAP004741 AGAP004748 AGAP004749 AGAP004725 AGAP004735 AGAP004739 AGAP004746 AGAP029113 AGAP004726 AGAP004728 AGAP004750 AGAP004760 AGAP004727 AGAP004729 AGAP004740 AGAP004730 AGAP004753 AGAP004761 AGAP004751 AGAP004754 AGAP004747 AGAP004731
13,CF-BGF_Bangui_gamb_1994_Q1,2L,5705269,6058822,AGAP004903 AGAP004904 AGAP004906 AGAP004909 AGAP004910 AGAP004911 AGAP004912 AGAP004914 AGAP004916 AGAP004917 AGAP004918 AGAP004919 AGAP004921 AGAP004920 AGAP028439 AGAP004905 AGAP004902 AGAP029817 AGAP004913 AGAP029816 AGAP004915 AGAP004907 AGAP004908
14,UG-E_Tororo_gamb_2012_Q4,2L,8268084,8975190,AGAP005012 AGAP005013 AGAP005018 AGAP005021 AGAP005022 AGAP005023 AGAP005024 AGAP005025 AGAP005026 AGAP005027 AGAP005029 AGAP005036 AGAP005038 AGAP005044 AGAP005045 AGAP005046 AGAP005048 AGAP005049 AGAP005050 AGAP005051 AGAP005052 AGAP005054 AGAP028210 AGAP028440 AGAP028754 AGAP005040 AGAP005055 AGAP005020 AGAP005030 AGAP005015 AGAP005019 AGAP005043 AGAP005031 AGAP005014 AGAP005057 AGAP005017 AGAP005033 AGAP005042 AGAP005053 AGAP005056 AGAP005032 AGAP005039 AGAP005037 AGAP005034 AGAP005047 AGAP005035 AGAP005041 AGAP005028 AGAP029849
15,GH-EP_New-Juaben_gamb_2012_Q4,2L,9202971,9556524,AGAP005065 AGAP005066 AGAP005070 AGAP028441 AGAP028442 AGAP005068 AGAP005069 AGAP005071 AGAP005072
16,GN-N_Macenta_gamb_2012_Q4,2L,9266686,9378937,AGAP005068
17,GN-F_Kissidougou_gamb_2012_Q4,2L,9706826,9917509,AGAP005079 AGAP005081 AGAP005092 AGAP005083 AGAP005090 AGAP005089 AGAP005084 AGAP005082 AGAP005077 AGAP005088 AGAP005080
18,ML-3_Yanfolila_gamb_2012_Q4,2L,10274604,10981710,AGAP005127 AGAP005129 AGAP005130 AGAP005131 AGAP005132 AGAP005134 AGAP005136 AGAP005142 AGAP005144 AGAP005148 AGAP005149 AGAP005160 AGAP005161 AGAP005157 AGAP029363 AGAP005163 AGAP005139 AGAP005126 AGAP005152 AGAP005125 AGAP005150 AGAP005133 AGAP005158 AGAP005156 AGAP005159 AGAP005135 AGAP005153 AGAP005128 AGAP005141 AGAP005143 AGAP005137 AGAP005155 AGAP005138 AGAP005145 AGAP005147 AGAP005162 AGAP029843 AGAP005146
19,BF-09_Houet_gamb_2014_Q3,2L,11500477,12207500,AGAP005182 AGAP005183 AGAP005189 AGAP005190 AGAP005198 AGAP005201 AGAP005202 AGAP005191 AGAP005194 AGAP005195 AGAP005185 AGAP005196 AGAP005192 AGAP005188 AGAP029521 AGAP005187 AGAP005197 AGAP005193 AGAP029855
20,CD-NU_Gbadolite_gamb_2015_Q3,2L,12186604,12290031,AGAP005198 AGAP005206 AGAP005201 AGAP005202 AGAP005205 AGAP029231 AGAP029521 AGAP005203 AGAP005208 AGAP029855
21,CF-BGF_Bangui_gamb_1994_Q1,2L,12222738,12252088,AGAP029231
22,GN-N_Macenta_gamb_2012_Q4,2L,12872362,13225900,AGAP005245 AGAP005246 AGAP005252 AGAP005249 AGAP005247 AGAP005250 AGAP005248 AGAP005253 AGAP005251
23,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,13064652,13310050,AGAP005255 AGAP005256 AGAP005252 AGAP005249 AGAP005250 AGAP005248 AGAP005253 AGAP005254 AGAP005251
24,UG-W_Kanungu_gamb_2012_Q4,2L,13184840,13233487,AGAP005252 AGAP005253
25,GH-EP_New-Juaben_gamb_2012_Q4,2L,13893488,14106272,AGAP005307 AGAP005310 AGAP005311 AGAP005313 AGAP005314 AGAP005315 AGAP005316 AGAP005317 AGAP005320 AGAP005323 AGAP029009 AGAP029010 AGAP029011 AGAP029012 AGAP029013 AGAP029014 AGAP029015 AGAP029016 AGAP029017 AGAP029018 AGAP029019 AGAP029020 AGAP029021 AGAP029022 AGAP029023 AGAP029024 AGAP029025 AGAP029026 AGAP029027 AGAP005306 AGAP005305 AGAP005308 AGAP005322 AGAP005312 AGAP005319 AGAP005321 AGAP005324 AGAP005309 AGAP029857 AGAP005318
26,ML-2_Kati_gamb_2014_Q3,2L,15382440,15601379,AGAP005427 AGAP005429 AGAP005430 AGAP005431 AGAP005432 AGAP005434 AGAP005435 AGAP005437 AGAP028445 AGAP005442 AGAP005443 AGAP005441 AGAP005439 AGAP005436 AGAP005438 AGAP005433 AGAP005440 AGAP029598 AGAP029473 AGAP005428 AGAP005448
27,UG-W_Kanungu_gamb_2012_Q4,2L,16501662,16534289,AGAP005512 AGAP005511
28,GH-EP_New-Juaben_gamb_2012_Q4,2L,16889246,17242800,AGAP005547 AGAP005548 AGAP005549 AGAP005550 AGAP005553 AGAP005556 AGAP005558 AGAP005559 AGAP005560 AGAP005561 AGAP005562 AGAP005554 AGAP005552 AGAP005563 AGAP005555 AGAP005551 AGAP005557 AGAP005546
29,UG-W_Kanungu_gamb_2012_Q4,2L,19286535,19335593,
30,UG-E_Tororo_gamb_2012_Q4,2L,19304536,19376882,
